State,County,Score
Washington,Franklin,6.273784935
Washington,Garfield,2.296686769
Washington,Grant,nan
Washington,Grays Harbor,nan
Washington,Island,nan
Washington,Jefferson,5.191931408
Washington,King,nan
Washington,Kitsap,7.706488967
Washington,Kittitas,nan
Washington,Klickitat,nan
Washington,Lewis,3.588054925
Washington,Lincoln,4.778802786
Washington,Mason,nan
Washington,Okanogan,nan
Washington,Pacific,nan
Washington,Pend Oreille,nan
Washington,Pierce,nan
Washington,San Juan,nan
Washington,Skagit,5.278290398
Washington,Skamania,nan
Washington,Snohomish,nan
Washington,Spokane,nan
Washington,Stevens,4.922159477
Washington,Thurston,nan
Washington,Wahkiakum,nan
Washington,Walla Walla,nan
Washington,Whatcom,nan
Washington,Whitman,nan
Washington,Yakima,nan
New York,Albany,nan
New York,Allegany,nan
New York,Bronx,nan
New York,Broome,nan
New York,Cattaraugus,nan
New York,Cayuga,nan
New York,Chautauqua,nan
New York,Chemung,nan
New York,Chenango,nan
New York,Clinton,nan
New York,Columbia,6.501360089
New York,Cortland,nan
New York,Delaware,5.497645214
New York,Dutchess,nan
New York,Erie,nan
New York,Essex,nan
New York,Franklin,6.273784935
New York,Fulton,nan
New York,Genesee,nan
New York,Greene,nan
New York,Hamilton,5.786801428
New York,Herkimer,nan
New York,Jefferson,5.191931408
New York,Kings,nan
New York,Lewis,3.588054925
New York,Livingston,nan
New York,Madison,3.191309273
New York,Monroe,3.051220924
New York,Montgomery,4.809386972
New York,Nassau,nan
New York,New York,nan
New York,Niagara,nan
New York,Oneida,nan
New York,Onondaga,nan
New York,Ontario,nan
New York,Orange,nan
New York,Orleans,7.437109947
New York,Oswego,nan
New York,Otsego,nan
New York,Putnam,1.624462605
New York,Queens,nan
New York,Rensselaer,nan
New York,Richmond,nan
New York,Rockland,nan
New York,St. Lawrence,nan
New York,Saratoga,nan
New York,Schenectady,nan
New York,Schoharie,nan
New York,Schuyler,nan
New York,Seneca,nan
New York,Steuben,nan
New York,Suffolk,nan
New York,Sullivan,4.936308353
New York,Tioga,nan
New York,Tompkins,nan
New York,Ulster,nan
New York,Warren,nan
New York,Washington,3.119795173
New York,Wayne,4.603117332
New York,Westchester,nan
New York,Wyoming,nan
New York,Yates,nan
Nevada,Churchill,nan
Nevada,Clark,nan
Nevada,Douglas,nan
Nevada,Elko,nan
Nevada,Esmeralda,nan
Nevada,Eureka,nan
Nevada,Humboldt,nan
Nevada,Lander,nan
Nevada,Lincoln,4.778802786
Nevada,Lyon,nan
Nevada,Mineral,nan
Nevada,Nye,nan
Nevada,Pershing,nan
Nevada,Storey,nan
Nevada,Washoe,4.194264784
Nevada,White Pine,nan
Nevada,"Carson City, Consolidated Municipality of",nan
Pennsylvania,Adams,nan
Pennsylvania,Allegheny,nan
Pennsylvania,Armstrong,nan
Pennsylvania,Beaver,nan
Pennsylvania,Bedford,nan
Pennsylvania,Berks,2.903420925
Pennsylvania,Blair,nan
Pennsylvania,Bradford,nan
Pennsylvania,Bucks,3.377197981
Pennsylvania,Butler,3.829443827
Pennsylvania,Cambria,nan
Pennsylvania,Cameron,nan
Pennsylvania,Carbon,nan
Pennsylvania,Centre,nan
Pennsylvania,Chester,6.86076954
Pennsylvania,Clarion,nan
Pennsylvania,Clearfield,nan
Pennsylvania,Clinton,nan
Pennsylvania,Columbia,6.501360089
Pennsylvania,Crawford,9.524970651
Pennsylvania,Cumberland,nan
Pennsylvania,Dauphin,nan
Pennsylvania,Delaware,5.497645214
Pennsylvania,Elk,nan
Pennsylvania,Erie,nan
Pennsylvania,Fayette,nan
Pennsylvania,Forest,nan
Pennsylvania,Franklin,6.273784935
Pennsylvania,Fulton,nan
Pennsylvania,Greene,nan
Pennsylvania,Huntingdon,nan
Pennsylvania,Indiana,nan
Pennsylvania,Jefferson,5.191931408
Pennsylvania,Juniata,nan
Pennsylvania,Lackawanna,nan
Pennsylvania,Lancaster,nan
Pennsylvania,Lawrence,nan
Pennsylvania,Lebanon,nan
Pennsylvania,Lehigh,nan
Pennsylvania,Luzerne,nan
Pennsylvania,Lycoming,nan
Pennsylvania,McKean,nan
Pennsylvania,Mercer,nan
Pennsylvania,Mifflin,nan
Pennsylvania,Monroe,3.051220924
Pennsylvania,Montgomery,4.809386972
Pennsylvania,Montour,nan
Pennsylvania,Northampton,nan
Pennsylvania,Northumberland,nan
Pennsylvania,Perry,nan
Pennsylvania,Philadelphia,nan
Pennsylvania,Pike,nan
Pennsylvania,Potter,nan
Pennsylvania,Schuylkill,nan
Pennsylvania,Snyder,nan
Pennsylvania,Somerset,nan
Pennsylvania,Sullivan,4.936308353
Pennsylvania,Susquehanna,nan
Pennsylvania,Tioga,nan
Pennsylvania,Union,1.269194484
Pennsylvania,Venango,nan
Pennsylvania,Warren,nan
Pennsylvania,Washington,3.119795173
Pennsylvania,Wayne,4.603117332
Pennsylvania,Westmoreland,nan
Pennsylvania,Wyoming,nan
Pennsylvania,York,nan
Ohio,Adams,nan
Ohio,Allen,nan
Ohio,Ashland,nan
Ohio,Ashtabula,nan
Ohio,Athens,nan
Ohio,Auglaize,nan
Ohio,Belmont,nan
Ohio,Brown,4.664063379
Ohio,Butler,3.829443827
Ohio,Carroll,nan
Ohio,Champaign,nan
Ohio,Clark,nan
Ohio,Clermont,nan
Ohio,Clinton,nan
Ohio,Columbiana,nan
Ohio,Coshocton,nan
Ohio,Crawford,9.524970651
Ohio,Cuyahoga,nan
Ohio,Darke,nan
Ohio,Defiance,nan
Ohio,Delaware,5.497645214
Ohio,Erie,nan
Ohio,Fairfield,nan
Ohio,Fayette,nan
Ohio,Franklin,6.273784935
Ohio,Fulton,nan
Ohio,Gallia,nan
Ohio,Geauga,nan
Ohio,Greene,nan
Ohio,Guernsey,nan
Ohio,Hamilton,5.786801428
Ohio,Hancock,nan
Ohio,Hardin,2.112467885
Ohio,Harrison,7.021929473
Ohio,Henry,nan
Ohio,Highland,nan
Ohio,Hocking,nan
Ohio,Holmes,nan
Ohio,Huron,nan
Ohio,Jackson,7.13179186
Ohio,Jefferson,5.191931408
Ohio,Knox,nan
Ohio,Lake,nan
Ohio,Lawrence,nan
Ohio,Licking,nan
Ohio,Logan,nan
Ohio,Lorain,nan
Ohio,Lucas,nan
Ohio,Madison,3.191309273
Ohio,Mahoning,nan
Ohio,Marion,5.492814369
Ohio,Medina,nan
Ohio,Meigs,nan
Ohio,Mercer,nan
Ohio,Miami,nan
Ohio,Monroe,3.051220924
Ohio,Montgomery,4.809386972
Ohio,Morgan,nan
Ohio,Morrow,nan
Ohio,Muskingum,nan
Ohio,Noble,nan
Ohio,Ottawa,nan
Ohio,Paulding,nan
Ohio,Perry,nan
Ohio,Pickaway,nan
Ohio,Pike,nan
Ohio,Portage,nan
Ohio,Preble,nan
Ohio,Putnam,1.624462605
Ohio,Richland,nan
Ohio,Ross,nan
Ohio,Sandusky,nan
Ohio,Scioto,nan
Ohio,Seneca,nan
Ohio,Shelby,nan
Ohio,Stark,6.100899801
Ohio,Summit,nan
Ohio,Trumbull,nan
Ohio,Tuscarawas,nan
Ohio,Union,1.269194484
Ohio,Van Wert,nan
Ohio,Vinton,nan
Ohio,Warren,nan
Ohio,Washington,3.119795173
Ohio,Wayne,4.603117332
Ohio,Williams,nan
Ohio,Wood,nan
Ohio,Wyandot,nan
